Item Code,Description,Unit,Quantity,Unit Material Cost,Unit Labor Cost,Total Material Cost,Total Labor Cost,Total Amount
MAT-CONC-210,Structural Concrete 210 ksc (1:2:4),m3,45.069,2050.00,450.00,92390.52,20280.85,112671.37
MAT-BRICK-01,Clay Brick Masonry Wall,m2,227.530,280.00,120.00,63708.40,27303.60,91012.00
MAT-STEEL-01,Structural Steel Truss SS400,kg,2696.998,32.00,8.00,86303.92,21575.98,107879.90
MAT-FORMWORK,Timber Formwork,m2,819.179,350.00,150.00,286712.49,122876.78,409589.27
MAT-REBAR-RB6,Round Bar RB6 (SR24),kg,424.464,26.50,4.00,11248.30,1697.86,12946.15
MAT-REBAR-RB9,Round Bar RB9 (SR24),kg,47.451,26.50,4.00,1257.45,189.80,1447.26
MAT-REBAR-DB12,Deformed Bar DB12 (SD40),kg,1107.869,27.00,4.50,29912.46,4985.41,34897.87
MAT-REBAR-DB16,Deformed Bar DB16 (SD40),kg,1214.271,27.50,4.50,33392.45,5464.22,38856.67
MAT-REBAR-DB20,Deformed Bar DB20 (SD40),kg,261.889,28.00,4.50,7332.90,1178.50,8511.40
MAT-PILE-HEX15,Hollow Hexagonal Concrete Pile 0.15m,m,378.000,120.00,40.00,45360.00,15120.00,60480.00
MAT-LEAN-CONC,Lean Concrete 1:3:5,m3,3.102,1750.00,380.00,5428.50,1178.76,6607.26
MAT-SAND,Coarse Sand Bedding Under Footing,m3,11.911,450.00,120.00,5359.95,1429.32,6789.27
MAT-SLAB-PLANK,Precast Concrete Plank 5cm,m2,96.400,185.00,45.00,17834.00,4338.00,22172.00
MAT-PLASTER-01,Cement Plastering (งานฉาบปูนเรียบ),m2,455.060,65.00,85.00,29578.90,38680.10,68259.00
MAT-PAINT-INT,Interior Acrylic Paint (ทาสีน้ำอะคริลิกภายใน),m2,186.609,45.00,35.00,8397.39,6531.30,14928.69
MAT-PAINT-EXT,Exterior Acrylic Paint (ทาสีน้ำอะคริลิกภายนอก),m2,227.530,65.00,45.00,14789.45,10238.85,25028.30
MAT-TILE-WALL,Ceramic Wall Tile (งานปูกระเบื้องผนัง),m2,40.921,260.00,160.00,10639.55,6547.41,17186.96
